epoch,val_categorical_accuracy,categorical_accuracy,loss,val_loss
0,0.0113,0.080650002,16.0604744,13.87655163
1,0.043699998,0.175475001,10.03151131,9.541811943
2,0.193399996,0.270525008,6.808470249,6.53688097
3,0.249599993,0.352375001,5.044525623,5.377036572
4,0.297399998,0.420024991,4.053291798,4.579800606
5,0.294400007,0.47437501,3.44903326,4.373022556
6,0.465000004,0.529474974,3.009320021,3.237012625
7,0.568599999,0.587925017,2.668874979,2.71334219
8,0.621100008,0.644424975,2.407654047,2.48358798
9,0.649699986,0.680549979,2.260514975,2.349077702
10,0.305500001,0.432599992,3.227591276,4.602461338
11,0.335900009,0.480975002,2.905869961,3.769049644
12,0.378300011,0.501574993,2.741531372,3.39659214
13,0.381000012,0.523925006,2.599819422,3.279026508
14,0.163100004,0.541299999,2.507472754,4.654859066
15,0.388799995,0.559575021,2.42884326,3.306058884
16,0.439200014,0.580974996,2.344850302,3.034596682
17,0.458900005,0.599924982,2.258740187,2.915827513
18,0.487100005,0.619724989,2.170666218,2.805517197
19,0.516600013,0.64182502,2.072885275,2.605774164
20,0.508700013,0.663625002,1.962263227,2.694425106
21,0.561699986,0.695524991,1.832376003,2.354373455
22,0.600899994,0.727100015,1.703768134,2.19420743
23,0.645399988,0.757250011,1.564161777,1.988770843
24,0.662199974,0.790624976,1.425745368,1.925049663
25,0.699199975,0.830624998,1.274875045,1.749175429
26,0.724099994,0.864125013,1.149168134,1.643173456
27,0.74849999,0.892525017,1.046647191,1.558331013
28,0.756099999,0.911949992,0.982052326,1.521993756
29,0.758599997,0.918900013,0.953937709,1.509759665
30,0.31099999,0.520550013,2.677250385,4.329715729
31,0.345699996,0.569724977,2.573894501,4.068283558
32,0.144299999,0.589075029,2.536477804,4.8662467
33,0.446099997,0.592474997,2.51505208,3.20398736
34,0.420599997,0.603200018,2.480436087,3.555352688
35,0.367300004,0.60817498,2.468762875,4.01140976
36,0.4287,0.615374982,2.448349714,3.393862963
37,0.523800015,0.623000026,2.417355776,2.932902098
38,0.444999993,0.623250008,2.406096697,3.286854267
39,0.508400023,0.634074986,2.373058796,2.965820789
40,0.442699999,0.64002502,2.351345062,3.390048742
41,0.422800004,0.648325026,2.31509304,3.320005417
42,0.479099989,0.65547502,2.282546282,3.29444766
43,0.494800001,0.664524972,2.244871616,3.096226454
44,0.494700015,0.67264998,2.205691576,3.05616188
45,0.498600006,0.680100024,2.174346209,3.096406221
46,0.532500029,0.695124984,2.114145756,2.960776806
47,0.541199982,0.699774981,2.082854986,2.755049944
48,0.450300008,0.713649988,2.021653652,3.459062815
49,0.584100008,0.728799999,1.953372598,2.63021493
50,0.59009999,0.739950001,1.895162702,2.557666302
51,0.579400003,0.755249977,1.824961901,2.608100891
52,0.548500001,0.772650003,1.750712752,2.867616892
53,0.60799998,0.786324978,1.679023862,2.457544804
54,0.646000028,0.803775012,1.602364302,2.242413759
55,0.640699983,0.821224988,1.51523006,2.258063793
56,0.674000025,0.837849975,1.440007091,2.104694843
57,0.671500027,0.860050023,1.344532967,2.115792036
58,0.69569999,0.873875022,1.267368793,1.99260211
59,0.703199983,0.896700025,1.170235991,1.930918932
