categorical_accuracy,loss,epoch,val_categorical_accuracy,val_loss
0.049600001,28.54631233,0,0.0089,22.4487381
0.098999999,17.16809845,1,0.079000004,13.73580647
0.141599998,11.32557869,2,0.160699993,9.250674248
0.190149993,8.256648064,3,0.168300003,7.268638134
0.236774996,6.583285332,4,0.279199988,5.553845406
0.282725006,5.620517254,5,0.333400011,4.707593441
0.332924992,5.026272297,6,0.380899996,4.168920994
0.377149999,4.64103651,7,0.436100006,3.779156208
0.417699993,4.407836914,8,0.520200014,3.409262419
0.442175001,4.293442726,9,0.560599983,3.235452652
0.276574999,4.660674095,10,0.152199998,5.34609127
0.317750007,4.113524437,11,0.290399998,3.678548813
0.342750013,3.808555365,12,0.344099998,3.245139599
0.36392501,3.623240948,13,0.289200008,3.542128086
0.38865,3.490546465,14,0.371399999,3.084370852
0.407575011,3.405764341,15,0.391499996,2.933427095
0.426200002,3.318250895,16,0.354000002,3.142278433
0.44295001,3.259092569,17,0.371399999,3.06780839
0.464074999,3.178761959,18,0.445199996,2.670624018
0.48269999,3.104738235,19,0.464599997,2.626270056
0.50484997,3.026797771,20,0.516700029,2.387751102
0.526449978,2.932916164,21,0.525099993,2.406203747
0.552250028,2.833697081,22,0.586899996,2.083329678
0.57525003,2.725976944,23,0.625699997,1.909212708
0.597925007,2.61960578,24,0.644800007,1.796435356
0.627825022,2.504947186,25,0.682500005,1.654346466
0.652350008,2.396715879,26,0.72420001,1.507650971
0.678600013,2.286825657,27,0.752499998,1.394867301
0.69947499,2.214545727,28,0.764400005,1.351794481
0.710075021,2.182240725,29,0.770200014,1.338137627
0.417925,3.456653595,30,0.380499989,3.435217857
0.450825006,3.432445765,31,0.337900013,3.571941376
0.459024996,3.4161098,32,0.32069999,3.86426878
0.469249994,3.390744925,33,0.413899988,3.193536282
0.477149993,3.366414547,34,0.452300012,2.956735849
0.486075014,3.349953413,35,0.446200013,2.987566948
0.48635,3.345336437,36,0.353300005,3.611707926
0.493750006,3.329124212,37,0.406500012,3.300317526
0.503274977,3.299467564,38,0.455900013,3.006551981
0.500925004,3.297860622,39,0.429500014,3.126476288
0.511624992,3.26783967,40,0.429699987,3.156579018
0.51214999,3.24307704,41,0.403400004,3.241173744
0.523299992,3.22338438,42,0.423400015,3.216265917
0.533574998,3.187495947,43,0.444499999,3.091370821
0.537225008,3.163897991,44,0.413700014,3.255342484
0.543025017,3.132800102,45,0.463999987,3.035282135
0.557449996,3.086566687,46,0.519299984,2.708435059
0.563425004,3.054056644,47,0.526199996,2.672291994
0.571124971,3.017133236,48,0.522400022,2.68528223
0.582400024,2.970698357,49,0.548600018,2.606134415
0.589924991,2.924519062,50,0.567300022,2.464170933
0.603675008,2.868291616,51,0.600700021,2.365548134
0.617299974,2.807393074,52,0.600700021,2.33335948
0.633149981,2.742517471,53,0.631200016,2.198840141
0.640150011,2.690458059,54,0.626299977,2.236958981
0.657700002,2.609391928,55,0.653400004,2.083262205
0.672325015,2.54244113,56,0.66869998,2.007260323
0.689199984,2.461493731,57,0.676900029,1.940129876
0.701274991,2.392074585,58,0.703400016,1.858897686
0.718649983,2.308686018,59,0.715200007,1.779076576
0.73635,2.224872828,60,0.736100018,1.699516416
0.754474998,2.134376287,61,0.742600024,1.654070854
0.770325005,2.054668665,62,0.764999986,1.544475913
0.783025026,1.98596859,63,0.765999973,1.533332944
0.795624971,1.91431427,64,0.781799972,1.463270664
0.806900024,1.856984019,65,0.782899976,1.449524283
0.814575016,1.818890095,66,0.792699993,1.411637187
0.819000006,1.785205722,67,0.794399977,1.399068475
0.822475016,1.768059611,68,0.796299994,1.38824439
0.825325012,1.759646297,69,0.798200011,1.384764552
0.445724994,3.631355762,70,0.388200015,3.677016497
0.493075013,3.555345297,71,0.294400007,4.152246952
0.510975003,3.502374649,72,0.403499991,3.581357718
0.514074981,3.48499918,73,0.399599999,3.594188213
0.518750012,3.470498323,74,0.415300012,3.513864756
0.522249997,3.449558496,75,0.389099985,3.685933113
0.524574995,3.440148354,76,0.481700003,3.116912603
0.525974989,3.430594921,77,0.371699989,3.741695404
0.528450012,3.422842979,78,0.310200006,4.130458832
0.532149971,3.411215305,79,0.359899998,3.800043344
0.533800006,3.406004667,80,0.409299999,3.750693798
0.531424999,3.412108183,81,0.493800014,3.067595959
0.535624981,3.402315617,82,0.416700006,3.540600061
0.539574981,3.388680458,83,0.350699991,4.097609043
0.537975013,3.375143766,84,0.379900008,3.806946993
0.543274999,3.36473918,85,0.501100004,3.069024086
0.543799996,3.356765509,86,0.523199975,2.944496393
0.551575005,3.355797768,87,0.492500007,3.117025137
0.550175011,3.343442202,88,0.43599999,3.441164017
0.555299997,3.330788374,89,0.480599999,3.229923964
0.556375027,3.32128787,90,0.51910001,2.982112646
0.560199976,3.304053068,91,0.573300004,2.730591536
0.564800024,3.293779612,92,0.53609997,2.903034925
0.569100022,3.283849955,93,0.555899978,2.815088749
0.570375025,3.273239851,94,0.504199982,3.089064598
0.571500003,3.262630939,95,0.517099977,3.048228979
0.576874971,3.244448185,96,0.420100003,3.614177704
0.582099974,3.230715275,97,0.368499994,3.87505579
0.585099995,3.210377216,98,0.476000011,3.307378054
0.590174973,3.188455343,99,0.510599971,3.054043531
0.589550018,3.184593439,100,0.520900011,3.080023289
0.598924994,3.162386417,101,0.575699985,2.768656492
0.600825012,3.150339842,102,0.592000008,2.699684381
0.607550025,3.123048544,103,0.596300006,2.716329336
0.608950019,3.109906435,104,0.565500021,2.799422741
0.616900027,3.079359055,105,0.46450001,3.402664423
0.622075021,3.051459789,106,0.584900022,2.71737361
0.624249995,3.030808687,107,0.588400006,2.712091923
0.631550014,3.004992962,108,0.558499992,2.844368696
0.636825025,2.972384214,109,0.587400019,2.679994822
0.645124972,2.95298624,110,0.596899986,2.672904015
0.650250018,2.920734644,111,0.643999994,2.426542521
0.657350004,2.884763002,112,0.595600009,2.678022623
0.662150025,2.862347126,113,0.642099977,2.418295145
0.667349994,2.825805664,114,0.652800024,2.404868603
0.677375019,2.790288925,115,0.579699993,2.772253036
0.680450022,2.757159472,116,0.632300019,2.520077467
0.688799977,2.72156024,117,0.660399973,2.353451967
0.704275012,2.670332909,118,0.66049999,2.347722769
0.706900001,2.636993647,119,0.589699984,2.675245285
